Id,SalePrice
1461,122140
1462,139010
1463,137360
1464,173570
1465,203300
1466,141700
1467,198990
1468,141200
1469,165570
1470,122690
1471,218220
1472,98412
1473,103620
1474,122400
1475,122680
1476,556930
1477,306520
1478,318260
1479,405330
1480,558780
1481,434690
1482,225850
1483,212480
1484,205450
1485,194900
1486,188650
1487,384670
1488,325970
1489,201740
1490,241330
1491,181090
1492,100470
1493,238560
1494,296640
1495,313930
1496,246400
1497,173710
1498,161130
1499,161500
1500,164470
1501,185450
1502,140520
1503,238990
1504,192750
1505,225020
1506,163200
1507,248960
1508,165990
1509,127310
1510,129440
1511,132710
1512,191630
1513,127710
1514,194680
1515,239620
1516,130340
1517,149500
1518,138660
1519,317700
1520,148740
1521,119620
1522,148860
1523,113410
1524,127840
1525,119000
1526,127390
1527,119900
1528,131570
1529,123830
1530,146030
1531,119070
1532,148710
1533,146740
1534,118220
1535,156130
1536,108420
1537,94497
1538,185250
1539,157070
1540,115000
1541,125520
1542,168780
1543,218930
1544,92570
1545,106940
1546,107840
1547,116050
1548,114930
1549,111790
1550,137650
1551,136720
1552,233340
1553,124550
1554,118040
1555,145560
1556,556330
1557,108170
1558,114150
1559,70403
1560,138820
1561,158500
1562,131640
1563,117410
1564,130950
1565,120650
1566,185970
1567,89523
1568,211300
1569,132880
1570,146880
1571,133530
1572,135350
1573,216300
1574,147120
1575,187210
1576,217720
1577,202270
1578,145400
1579,136580
1580,159960
1581,145420
1582,126010
1583,414260
1584,209710
1585,154660
1586,50744
1587,166360
1588,131230
1589,104820
1590,122550
1591,202110
1592,107200
1593,118010
1594,186550
1595,129700
1596,187990
1597,189020
1598,198330
1599,148570
1600,184990
1601,100040
1602,113210
1603,122580
1604,264640
1605,248200
1606,151900
1607,191730
1608,246380
1609,201150
1610,136870
1611,135310
1612,222010
1613,181710
1614,124950
1615,121360
1616,134170
1617,101340
1618,123610
1619,131550
1620,262820
1621,120220
1622,119460
1623,329980
1624,197090
1625,102800
1626,143850
1627,167580
1628,317810
1629,152550
1630,528760
1631,204910
1632,302670
1633,141580
1634,167250
1635,142400
1636,178940
1637,170420
1638,153880
1639,171310
1640,228860
1641,180220
1642,225740
1643,196550
1644,217830
1645,167260
1646,153560
1647,133050
1648,129880
1649,128720
1650,132080
1651,137780
1652,96905
1653,95639
1654,128120
1655,144930
1656,123830
1657,127390
1658,125290
1659,116300
1660,148400
1661,626200
1662,490650
1663,466820
1664,544020
1665,381090
1666,345260
1667,518140
1668,379140
1669,336170
1670,389540
1671,293930
1672,630190
1673,393760
1674,293520
1675,229660
1676,228380
1677,228350
1678,581100
1679,496600
1680,457590
1681,274930
1682,334950
1683,247670
1684,173150
1685,176260
1686,206290
1687,191730
1688,210190
1689,191490
1690,173490
1691,157940
1692,250550
1693,205380
1694,155700
1695,158070
1696,319680
1697,154410
1698,466020
1699,375630
1700,237570
1701,257240
1702,318230
1703,301870
1704,323120
1705,226700
1706,516770
1707,239860
1708,218120
1709,281460
1710,234060
1711,257740
1712,356750
1713,335460
1714,247720
1715,168000
1716,165010
1717,180380
1718,165240
1719,179870
1720,259880
1721,195940
1722,193530
1723,226530
1724,274000
1725,195440
1726,173840
1727,197400
1728,157230
1729,133400
1730,128580
1731,130490
1732,116400
1733,99374
1734,139940
1735,153380
1736,116920
1737,234630
1738,201330
1739,482310
1740,318900
1741,186090
1742,179870
1743,175270
1744,296580
1745,207140
1746,180320
1747,168810
1748,233130
1749,140420
1750,131330
1751,190450
1752,121780
1753,153950
1754,167010
1755,140270
1756,123320
1757,116940
1758,150260
1759,146400
1760,170370
1761,133860
1762,165530
1763,150500
1764,131310
1765,170340
1766,164300
1767,235030
1768,129810
1769,145940
1770,134620
1771,129920
1772,159370
1773,125310
1774,232380
1775,124650
1776,116400
1777,109980
1778,139780
1779,157230
1780,157010
1781,139090
1782,100900
1783,162930
1784,113290
1785,148030
1786,160200
1787,156870
1788,70354
1789,97703
1790,127370
1791,235800
1792,148100
1793,143540
1794,143530
1795,130190
1796,99383
1797,89452
1798,127050
1799,112230
1800,107660
1801,135310
1802,131370
1803,136500
1804,121160
1805,113540
1806,132070
1807,123250
1808,108800
1809,103910
1810,161900
1811,122360
1812,87636
1813,120630
1814,121150
1815,62241
1816,116340
1817,118210
1818,144370
1819,101170
1820,253710
1821,129080
1822,221610
1823,70628
1824,121970
1825,126980
1826,101120
1827,138400
1828,129390
1829,140360
1830,147610
1831,137230
1832,108080
1833,173260
1834,120330
1835,109210
1836,138470
1837,114440
1838,105880
1839,120790
1840,156910
1841,126990
1842,62403
1843,116030
1844,110570
1845,121750
1846,138540
1847,149970
1848,54379
1849,114840
1850,143190
1851,125750
1852,136260
1853,145300
1854,152260
1855,126070
1856,248330
1857,113080
1858,151530
1859,336620
1860,136570
1861,158350
1862,433850
1863,462770
1864,462810
1865,345280
1866,389020
1867,265050
1868,317140
1869,207390
1870,231140
1871,264910
1872,172420
1873,207430
1874,136220
1875,208590
1876,166970
1877,210570
1878,224420
1879,130080
1880,124300
1881,291140
1882,264320
1883,200730
1884,197520
1885,225640
1886,308230
1887,207620
1888,288800
1889,169330
1890,123090
1891,134100
1892,138250
1893,119710
1894,147870
1895,140590
1896,123210
1897,108190
1898,96146
1899,146370
1900,114860
1901,150730
1902,149330
1903,159990
1904,130410
1905,159330
1906,125010
1907,164200
1908,132390
1909,192770
1910,135890
1911,157780
1912,334850
1913,177190
1914,81941
1915,335010
1916,357100
1917,292650
1918,117810
1919,134850
1920,186790
1921,498730
1922,338520
1923,190670
1924,193590
1925,204620
1926,482710
1927,144950
1928,176260
1929,116470
1930,122590
1931,130270
1932,119540
1933,133440
1934,158030
1935,139150
1936,160330
1937,160390
1938,203100
1939,255930
1940,210140
1941,154200
1942,206980
1943,201600
1944,426880
1945,453560
1946,357100
1947,376010
1948,170550
1949,258220
1950,145990
1951,242640
1952,181450
1953,153270
1954,150960
1955,128450
1956,401090
1957,156600
1958,363220
1959,135900
1960,110350
1961,114500
1962,101340
1963,101600
1964,115130
1965,131960
1966,133760
1967,276120
1968,513910
1969,474950
1970,510220
1971,559840
1972,466610
1973,285640
1974,386510
1975,592080
1976,307520
1977,394480
1978,474840
1979,536190
1980,237470
1981,503520
1982,233500
1983,232520
1984,169660
1985,289470
1986,302050
1987,193190
1988,175580
1989,190000
1990,206530
1991,247120
1992,191700
1993,152990
1994,208130
1995,157670
1996,233990
1997,401560
1998,385250
1999,236700
2000,276080
2001,254690
2002,277790
2003,370580
2004,239490
2005,218610
2006,212530
2007,308820
2008,198460
2009,183780
2010,189140
2011,215190
2012,193430
2013,148530
2014,169140
2015,167490
2016,179730
2017,147590
2018,121530
2019,125200
2020,117870
2021,93629
2022,154640
2023,179610
2024,238340
2025,387090
2026,233060
2027,156460
2028,176830
2029,144050
2030,327820
2031,215020
2032,237790
2033,298300
2034,207340
2035,172220
2036,205750
2037,211250
2038,255780
2039,204330
2040,266130
2041,198560
2042,174800
2043,154300
2044,161780
2045,174270
2046,150400
2047,117160
2048,137690
2049,150030
2050,144470
2051,117870
2052,122550
2053,148940
2054,110000
2055,177080
2056,146010
2057,136270
2058,250400
2059,116630
2060,166250
2061,166330
2062,117350
2063,141180
2064,140130
2065,97689
2066,156570
2067,145190
2068,159860
2069,65449
2070,108610
2071,109490
2072,154290
2073,126160
2074,174420
2075,129230
2076,118790
2077,143420
2078,116150
2079,139310
2080,123250
2081,116800
2082,122380
2083,141630
2084,104440
2085,125120
2086,80813
2087,137460
2088,153160
2089,127810
2090,113230
2091,137590
2092,124520
2093,111270
2094,132090
2095,144530
2096,86247
2097,107380
2098,155570
2099,83725
2100,173990
2101,141770
2102,131550
2103,106020
2104,174390
2105,120720
2106,90743
2107,282800
2108,120570
2109,131610
2110,131010
2111,136780
2112,138440
2113,121010
2114,119140
2115,168160
2116,130650
2117,137640
2118,125120
2119,128980
2120,106820
2121,153180
2122,122070
2123,66936
2124,177210
2125,166530
2126,237230
2127,167940
2128,123330
2129,110990
2130,120540
2131,135180
2132,127880
2133,136040
2134,136420
2135,117250
2136,85136
2137,99126
2138,140670
2139,126520
2140,154420
2141,122910
2142,139100
2143,125730
2144,127190
2145,135440
2146,145720
2147,143020
2148,116510
2149,140910
2150,161900
2151,105500
2152,189640
2153,169580
2154,81638
2155,119260
2156,384390
2157,215240
2158,218320
2159,220450
2160,152400
2161,290600
2162,509670
2163,369720
2164,225060
2165,167720
2166,135050
2167,199440
2168,190040
2169,165000
2170,173210
2171,135730
2172,132040
2173,161950
2174,264320
2175,298620
2176,329950
2177,295650
2178,181720
2179,157920
2180,339400
2181,215750
2182,257020
2183,208030
2184,134200
2185,124480
2186,126030
2187,130340
2188,98242
2189,279620
2190,78083
2191,80644
2192,98424
2193,110160
2194,101610
2195,127610
2196,117050
2197,131490
2198,163270
2199,143300
2200,117700
2201,126600
2202,128830
2203,124670
2204,160070
2205,113720
2206,98538
2207,162110
2208,210820
2209,199600
2210,148370
2211,121720
2212,122910
2213,103760
2214,124220
2215,115010
2216,152380
2217,68965
2218,89208
2219,99380
2220,93980
2221,356820
2222,340680
2223,376900
2224,217050
2225,166420
2226,205980
2227,200350
2228,266920
2229,186400
2230,151560
2231,228510
2232,180690
2233,181310
2234,213030
2235,289090
2236,276000
2237,393480
2238,275260
2239,133810
2240,176620
2241,139120
2242,142260
2243,117310
2244,111180
2245,109650
