Id,SalePrice
1461,227740
1462,125710
1463,201130
1464,167820
1465,239080
1466,196920
1467,304620
1468,171200
1469,344340
1470,246800
1471,262680
1472,136090
1473,84609
1474,170840
1475,124870
1476,397720
1477,257040
1478,406380
1479,402150
1480,631490
1481,488770
1482,334600
1483,313290
1484,232940
1485,223590
1486,227020
1487,273960
1488,348720
1489,184470
1490,274150
1491,282040
1492,58808
1493,195550
1494,270340
1495,282220
1496,346980
1497,173050
1498,155850
1499,174130
1500,154900
1501,155210
1502,155970
1503,241250
1504,229170
1505,217380
1506,201130
1507,253040
1508,210050
1509,121390
1510,127680
1511,172390
1512,214950
1513,173050
1514,177780
1515,208940
1516,144870
1517,228150
1518,239340
1519,264680
1520,95678
1521,104520
1522,137980
1523,162190
1524,153490
1525,107700
1526,201540
1527,167610
1528,200470
1529,181480
1530,216340
1531,57000
1532,157870
1533,108180
1534,192050
1535,95240
1536,76225
1537,73737
1538,110580
1539,210590
1540,87059
1541,105400
1542,84979
1543,167570
1544,192510
1545,371530
1546,111090
1547,119890
1548,170600
1549,193910
1550,88837
1551,90132
1552,117800
1553,146120
1554,90281
1555,179470
1556,62815
1557,82992
1558,8527.7
1559,33666
1560,194720
1561,117500
1562,87980
1563,97010
1564,175320
1565,102400
1566,294990
1567,45486
1568,232200
1569,94848
1570,102030
1571,123100
1572,300520
1573,313520
1574,152890
1575,298410
1576,266830
1577,278400
1578,156660
1579,155270
1580,176880
1581,187760
1582,212260
1583,319310
1584,246340
1585,206910
1586,82524
1587,193860
1588,213550
1589,36329
1590,145310
1591,76763
1592,38984
1593,162780
1594,334820
1595,123230
1596,131410
1597,126850
1598,225230
1599,270190
1600,240030
1601,129630
1602,117260
1603,94926
1604,290490
1605,249060
1606,192180
1607,275080
1608,318230
1609,359890
1610,207170
1611,139150
1612,355450
1613,177760
1614,146080
1615,73221
1616,39637
1617,84853
1618,124450
1619,357230
1620,249130
1621,140690
1622,87154
1623,191610
1624,225400
1625,127950
1626,132280
1627,195630
1628,324180
1629,293000
1630,430170
1631,339260
1632,299470
1633,223080
1634,240010
1635,240190
1636,179400
1637,202750
1638,159360
1639,226130
1640,236830
1641,231540
1642,275130
1643,258120
1644,263390
1645,213230
1646,153370
1647,183370
1648,244740
1649,188800
1650,241110
1651,151520
1652,103450
1653,139170
1654,172190
1655,212750
1656,143950
1657,141360
1658,173470
1659,111660
1660,171410
1661,385200
1662,348680
1663,384260
1664,486030
1665,331260
1666,409540
1667,322650
1668,354580
1669,472940
1670,384510
1671,236760
1672,429940
1673,331860
1674,293480
1675,266920
1676,354010
1677,246570
1678,278020
1679,457260
1680,314280
1681,333920
1682,387000
1683,193640
1684,229040
1685,258040
1686,314530
1687,230140
1688,234310
1689,241640
1690,225900
1691,218190
1692,298250
1693,242540
