Id,MSZon0ng,LotArea,Utilities,Condition1,Condition2,BldgType,HouseStyle,OverallCond,YearRemodAdd,BsmtCond,TotalBsmtSF,HeatingQC,Ce0tralAir,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,GarageType,GarageCars,GarageCond,1avedDrive,Fence,MiscVal,MoSold,YrSold,SalePrice
1,6,8450,10,5,5,4,4,5,2003,6,856,10,5,856,854,1710,2,3,8,8,10,8,2,6,2,0,0,2,2008,208500
2,6,9600,10,8,5,4,0,8,1976,6,1262,10,5,1262,0,1262,2,3,6,6,10,8,2,6,2,0,0,5,2007,181500
3,6,11250,10,5,5,4,4,5,2002,6,920,10,5,920,866,1786,2,3,8,6,10,8,2,6,2,0,0,9,2008,223500
4,6,9550,10,5,5,4,4,5,1970,8,756,8,5,961,756,1717,1,3,8,7,10,2,3,6,2,0,0,2,2006,140000
5,6,14260,10,5,5,4,4,5,2000,6,1145,10,5,1145,1053,2198,2,4,8,9,10,8,3,6,2,0,0,12,2008,250000
6,6,14115,10,5,5,4,3,5,1995,6,796,10,5,796,566,1362,1,1,6,5,10,8,2,6,2,5,700,10,2009,143000
7,6,10084,10,5,5,4,0,5,2005,6,1686,10,5,1694,0,1694,2,3,8,7,10,8,2,6,2,0,0,8,2007,307000
8,6,10382,10,9,5,4,4,6,1973,6,1107,10,5,1107,983,2090,2,3,6,7,10,8,2,6,2,0,350,11,2009,200000
9,4,6120,10,10,5,4,3,5,1950,6,952,8,5,1022,752,1774,2,2,6,8,8,2,2,6,2,0,0,4,2008,129900
10,6,7420,10,10,10,5,1,6,1950,6,991,10,5,1077,0,1077,1,2,6,5,10,8,1,6,2,0,0,1,2008,118000
11,6,11200,10,5,5,4,0,5,1965,6,1040,10,5,1040,0,1040,1,3,6,5,10,2,1,6,2,0,0,2,2008,129500
12,6,11924,10,5,5,4,4,5,2006,6,1175,10,5,1182,1142,2324,3,4,10,11,10,5,3,6,2,0,0,7,2006,345000
13,6,12968,10,5,5,4,0,6,1962,6,912,6,5,912,0,912,1,2,6,4,10,2,1,6,2,0,0,9,2008,144000
14,6,10652,10,5,5,4,0,5,2007,6,1494,10,5,1494,0,1494,2,3,8,7,10,8,3,6,2,0,0,8,2007,279500
15,6,10920,10,5,5,4,0,5,1960,6,1253,6,5,1253,0,1253,1,2,6,5,10,8,1,6,2,7,0,5,2008,157000
16,4,6120,10,5,5,4,1,8,2001,6,832,10,5,854,0,854,1,2,6,5,10,2,2,6,2,10,0,7,2007,132000
17,6,11241,10,5,5,4,0,7,1970,6,1004,10,5,1004,0,1004,1,2,6,5,10,8,2,6,2,0,700,3,2010,149000
18,6,10791,10,5,5,3,0,5,1967,1,0,6,5,1296,0,1296,2,2,6,6,10,3,2,6,2,0,500,10,2006,90000
19,6,13695,10,0,5,4,0,5,2004,6,1114,10,5,1114,0,1114,1,3,8,6,10,2,2,6,2,0,0,6,2008,159000
20,6,7560,10,5,5,4,0,6,1965,6,1029,6,5,1339,0,1339,1,3,6,6,8,8,1,6,2,5,0,5,2009,139000
21,6,14215,10,5,5,4,4,5,2006,6,1158,10,5,1158,1218,2376,3,4,8,9,10,5,3,6,2,0,0,11,2006,325300
22,4,7449,10,5,5,4,1,7,1950,6,637,10,5,1108,0,1108,1,3,8,6,10,8,1,6,0,10,0,6,2007,139400
23,6,9742,10,5,5,4,0,5,2002,6,1777,10,5,1795,0,1795,2,3,8,7,10,8,2,6,2,0,0,9,2008,230000
24,4,4224,10,5,5,2,0,7,1976,6,1040,6,5,1060,0,1060,1,3,6,6,10,8,2,6,2,0,0,6,2007,129900
25,6,8246,10,5,5,4,0,8,2001,6,1060,10,5,1060,0,1060,1,3,8,6,10,8,1,6,2,5,0,5,2010,154000
26,6,14230,10,5,5,4,0,5,2007,6,1566,10,5,1600,0,1600,2,3,8,7,10,8,3,6,2,0,0,7,2009,256300
27,6,7200,10,5,5,4,0,7,2000,6,900,6,5,900,0,900,1,3,8,5,10,2,2,6,2,0,0,5,2010,134800
28,6,11478,10,5,5,4,0,5,2008,6,1704,10,5,1704,0,1704,2,3,8,7,10,8,3,6,2,0,0,5,2010,306000
