Id,MSSubClass,MSZon0ng,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,Ce0tralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,Garage6ish,GarageCars,GarageArea,GarageQual,GarageCond,1avedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1387,60,6,80,16692,1,1,2,10,10,1,10,0,5,4,4,7,5,1978,1978,1,1,11,11,2,184,6,6,2,8,6,4,6,790,2,469,133,1392,2,6,5,10,1392,1392,0,2784,1,0,3,1,5,1,8,12,10,2,6,8,4,2,564,6,6,2,0,112,0,0,440,519,3,5,5,2000,7,2006,1,10,250000
706,190,4,70,5600,1,1,1,10,10,1,10,5,5,5,4,4,5,1930,1950,3,1,15,18,0,0,4,4,4,0,1,2,0,0,0,0,0,0,2,4,0,10,372,720,0,1092,0,0,2,0,3,2,4,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3500,7,2010,1,10,55000
874,40,6,60,12144,1,1,1,10,10,1,10,5,5,4,0,5,7,1949,1950,1,1,7,7,0,0,8,6,2,6,6,4,4,375,3,0,457,832,2,8,5,10,1036,0,232,1268,0,0,1,0,3,1,6,6,10,1,8,8,2,1,288,6,6,2,0,28,0,0,0,0,0,0,5,0,9,2009,1,10,133000
6,50,6,85,14115,1,1,2,10,10,1,10,5,5,4,3,5,5,1993,1995,1,1,15,15,0,0,6,6,6,8,6,4,10,732,3,0,64,796,2,10,5,10,796,566,0,1362,1,0,1,1,1,1,6,5,10,0,0,8,2,2,480,6,6,2,40,30,0,320,0,0,0,5,10,700,10,2009,1,10,143000
8,60,6,0,10382,1,1,2,10,10,2,10,9,5,4,4,7,6,1973,1973,1,1,7,7,3,240,6,6,2,8,6,6,8,859,6,32,216,1107,2,10,5,10,1107,983,0,2090,1,0,2,1,3,1,6,7,10,2,6,8,4,2,484,6,6,2,235,204,228,0,0,0,0,0,10,350,11,2009,1,10,200000
17,20,6,0,11241,1,1,2,10,10,5,10,5,5,4,0,6,7,1970,1970,1,1,16,16,2,180,6,6,2,6,6,4,8,578,3,0,426,1004,2,10,5,10,1004,0,0,1004,1,0,1,0,2,1,6,5,10,1,6,8,6,2,480,6,6,2,0,0,0,0,0,0,0,0,10,700,3,2010,1,10,149000
18,90,6,72,10791,1,1,1,10,10,1,10,5,5,3,0,4,5,1967,1967,1,1,9,9,0,0,6,6,4,0,1,2,0,0,0,0,0,0,2,6,5,10,1296,0,0,1296,0,0,2,0,2,2,6,6,10,0,0,3,2,2,516,6,6,2,0,0,0,0,0,0,0,0,10,500,10,2006,1,10,90000
52,50,4,52,6240,1,1,1,10,10,1,10,5,5,4,3,6,6,1934,1950,1,1,16,16,0,0,6,6,3,6,6,4,3,0,3,0,816,816,2,6,5,10,816,0,360,1176,0,0,1,0,3,1,6,6,10,1,8,2,2,2,528,6,6,2,112,0,0,0,0,0,0,5,10,400,9,2006,1,10,114500
85,80,6,0,8530,1,1,2,10,10,1,10,5,5,4,2,7,5,1995,1996,1,1,7,7,2,22,6,6,3,8,6,4,3,0,3,0,384,384,2,8,5,10,804,670,0,1474,0,0,2,1,3,1,6,7,10,1,6,5,6,2,400,6,6,2,120,72,0,0,0,0,0,0,10,700,5,2009,1,10,168500
96,60,6,0,9765,1,1,3,10,10,2,10,5,5,4,4,6,8,1993,1993,1,1,15,15,2,68,10,8,3,8,8,4,8,310,3,0,370,680,2,8,5,10,680,790,0,1470,0,0,2,1,3,1,6,6,10,1,6,5,6,2,420,6,6,2,232,63,0,0,0,0,0,0,10,480,4,2009,1,10,185000
99,30,6,85,10625,1,1,1,10,10,2,10,5,5,4,0,5,5,1920,1950,1,1,16,16,0,0,6,6,1,6,6,4,8,108,3,0,350,458,2,4,0,10,835,0,0,835,0,0,1,0,2,1,6,5,10,0,0,7,2,1,366,4,6,2,0,0,77,0,0,0,0,0,10,400,5,2010,3,0,83000
100,20,6,77,9320,1,1,2,10,10,1,10,5,5,4,0,4,5,1959,1959,1,1,11,11,0,0,6,6,2,6,6,4,8,569,3,0,381,950,2,4,5,10,1225,0,0,1225,1,0,1,1,3,1,6,6,10,0,0,0,0,0,0,0,0,2,352,0,0,0,0,0,0,0,10,400,1,2010,1,10,128950
107,30,4,60,10800,1,3,1,10,10,1,10,5,5,4,0,4,7,1885,1995,4,1,15,15,0,0,6,6,1,4,6,4,3,0,3,0,641,641,2,8,5,10,1047,0,0,1047,0,0,1,0,2,1,6,6,10,0,0,2,2,1,273,4,4,0,0,0,0,0,0,0,0,0,10,450,8,2007,1,10,100000
215,60,6,0,10900,1,1,2,10,10,7,10,5,5,4,4,6,7,1977,1977,1,1,7,7,2,153,6,6,2,8,6,4,10,378,3,0,311,689,2,10,5,10,689,703,0,1392,0,0,1,1,3,1,6,6,10,0,0,8,6,1,299,6,6,2,0,36,0,0,0,0,0,5,10,450,3,2010,1,10,161750
250,50,6,0,159000,1,1,3,3,10,5,0,5,5,4,3,6,7,1958,2006,1,1,16,7,1,472,8,6,2,8,6,10,4,697,3,0,747,1444,2,8,5,10,1444,700,0,2144,0,1,2,0,4,1,8,7,10,2,6,8,6,2,389,6,6,2,0,98,0,0,0,0,0,0,10,500,6,2007,1,10,277000
251,30,6,55,5350,1,1,2,10,10,1,10,5,5,4,0,3,2,1940,1966,1,1,16,11,0,0,6,2,2,6,6,4,3,0,3,0,728,728,2,10,5,10,1306,0,0,1306,0,0,1,0,3,1,4,6,6,0,0,0,0,0,0,0,0,2,263,0,0,0,0,0,0,7,10,450,5,2010,1,10,76500
336,190,6,0,164660,0,1,2,2,10,2,0,5,5,5,3,5,6,1965,1965,1,1,11,11,0,0,6,6,2,6,6,10,8,1249,6,147,103,1499,2,10,5,10,1619,167,0,1786,2,0,2,0,3,1,6,7,10,2,8,8,6,2,529,6,6,2,670,0,0,0,0,0,0,0,10,700,8,2008,1,10,228950
339,20,6,91,14145,1,1,1,10,10,2,10,5,5,4,0,7,7,1984,1998,1,1,16,16,0,0,8,6,2,8,6,6,8,213,3,0,995,1208,2,10,5,10,1621,0,0,1621,1,0,2,0,3,1,8,8,10,0,0,8,4,2,440,6,6,2,108,45,0,0,0,0,0,0,10,400,5,2006,1,10,202500
347,20,6,0,12772,1,1,2,10,10,5,10,5,5,4,0,6,8,1960,1998,3,1,9,9,0,0,6,8,2,6,6,6,6,498,3,0,460,958,2,6,5,10,958,0,0,958,0,0,1,0,2,1,6,5,10,0,0,8,4,1,301,6,6,2,0,0,0,0,0,0,0,0,10,15500,4,2007,1,10,151500
393,20,6,0,8339,1,1,2,10,10,1,10,5,5,4,0,5,7,1959,1959,1,1,9,9,0,0,6,6,4,0,1,2,0,0,0,0,0,0,2,6,5,10,882,0,0,882,0,0,1,0,3,1,6,5,10,0,0,8,4,1,294,6,6,2,0,0,0,0,0,0,0,5,10,1200,7,2007,1,10,106500
440,50,6,67,12354,1,3,1,10,10,2,10,5,5,4,3,6,8,1920,2000,1,1,16,16,0,0,6,6,1,6,4,6,3,0,3,0,684,684,2,8,5,10,684,512,0,1196,0,0,1,0,3,1,8,7,10,0,0,2,2,2,528,6,6,2,0,46,0,0,0,0,0,10,10,800,8,2009,5,10,110000
500,20,6,70,7535,1,1,2,10,10,1,10,5,5,4,0,5,7,1958,1985,1,1,9,9,0,0,6,6,2,6,6,4,6,111,2,279,522,912,2,4,5,10,912,0,0,912,0,1,1,0,2,1,6,5,10,0,0,8,6,1,297,6,6,2,12,285,0,0,0,0,0,3,10,480,6,2007,1,10,120000
503,20,6,70,9170,1,1,1,10,10,2,10,8,5,4,0,5,7,1965,1965,3,1,9,9,0,0,6,6,2,6,6,4,8,698,10,96,420,1214,2,10,5,10,1214,0,0,1214,1,0,1,0,2,1,6,6,10,0,0,2,2,2,461,4,4,2,0,0,184,0,0,0,0,10,10,400,4,2007,1,10,140000
511,20,6,75,14559,1,1,1,10,10,1,10,5,5,4,0,5,7,1951,2000,3,1,16,16,1,70,8,6,2,6,6,4,6,650,4,180,178,1008,2,10,5,10,1363,0,0,1363,1,0,1,0,2,1,6,6,8,2,6,3,2,1,288,6,6,2,324,42,0,0,168,0,0,0,10,2000,6,2009,1,10,164900
540,20,6,0,11423,1,1,1,10,10,1,10,5,5,4,0,8,5,2001,2002,1,1,15,15,2,479,8,6,3,8,6,8,10,1358,3,0,223,1581,2,10,5,10,1601,0,0,1601,1,0,2,0,3,1,8,6,10,1,6,8,4,2,670,6,6,2,180,0,0,0,0,0,0,5,10,2000,5,2010,1,10,272000
612,80,6,0,10395,1,1,2,10,10,7,10,5,5,4,2,6,6,1978,1978,1,1,7,7,2,233,6,6,2,8,6,8,8,605,3,0,427,1032,2,6,5,10,1032,0,0,1032,0,1,2,0,3,1,6,6,10,1,6,8,2,2,564,6,6,2,0,0,0,0,0,0,0,5,10,500,7,2007,1,10,148000
627,20,6,0,12342,1,1,2,10,10,1,10,5,5,4,0,5,5,1960,1978,3,1,16,16,0,0,6,6,2,6,6,4,3,0,3,0,978,978,2,6,5,10,1422,0,0,1422,0,0,1,0,3,1,6,6,8,1,6,8,4,1,286,6,6,2,0,0,36,0,0,0,0,7,10,600,8,2007,1,10,139900
